testimony_id,interviewee_year_of_birth
HVT-1,1925
HVT-2,1925
HVT-3,1930
HVT-4,1930
HVT-4,1925
HVT-5,1930
HVT-6,1925
HVT-7,1930
HVT-8,1930
HVT-9,1930
HVT-10,1930
HVT-11,1930
HVT-12,1925
HVT-12,1920
HVT-13,1925
HVT-13,1915
HVT-14,1905
HVT-15,1925
HVT-16,1935
HVT-17,1915
HVT-18,1925
HVT-19,1915
HVT-20,1925
HVT-21,1900
HVT-21,1900
HVT-22,1920
HVT-23,1925
HVT-24,1940
HVT-25,
HVT-26,1930
HVT-27,1920
HVT-28,1925
HVT-29,1920
HVT-30,1920
HVT-31,1910
HVT-32,
HVT-33,
HVT-34,1925
HVT-35,
HVT-36,1925
HVT-37,1925
HVT-38,1935
HVT-38,1925
HVT-39,1920
HVT-40,1920
HVT-41,1925
HVT-42,1920
HVT-43,1930
HVT-44,1910
HVT-45,
HVT-46,1935
HVT-47,1930
HVT-48,1935
HVT-49,1925
HVT-50,1935
HVT-51,1925
HVT-52,
HVT-53,
HVT-54,1930
HVT-55,1920
HVT-56,
HVT-57,
HVT-57,
HVT-58,1925
HVT-59,1940
HVT-60,1920
HVT-61,
HVT-62,1930
HVT-63,1930
HVT-64,1930
HVT-64,1925
HVT-65,1930
HVT-66,
HVT-67,1930
HVT-68,1910
HVT-69,1925
HVT-69,1910
HVT-70,1920
HVT-71,1925
HVT-72,1935
HVT-73,1910
HVT-74,
HVT-75,
HVT-76,1915
HVT-76,1925
HVT-77,
HVT-78,1925
HVT-79,1905
HVT-80,1925
HVT-81,
HVT-82,1920
HVT-83,1920
HVT-84,
HVT-85,1930
HVT-86,
HVT-87,
HVT-88,
HVT-89,1935
HVT-90,1915
HVT-91,1925
HVT-92,1930
HVT-93,1920
HVT-93,1925
HVT-94,1915
HVT-95,1930
HVT-96,
HVT-97,1925
HVT-98,1925
HVT-99,1920
HVT-100,1930
HVT-101,1935
HVT-102,
HVT-103,1910
HVT-103,1925
HVT-104,1915
HVT-105,1935
HVT-106,1920
HVT-107,1920
HVT-108,1930
HVT-109,
HVT-110,
HVT-111,1925
HVT-112,1920
HVT-113,1930
HVT-114,1925
HVT-115,1930
HVT-116,
HVT-116,
HVT-117,
HVT-118,1905
HVT-119,1905
HVT-120,1900
HVT-121,1910
HVT-122,
HVT-123,
HVT-124,1910
HVT-125,1920
HVT-126,1905
HVT-127,1905
HVT-128,1890
HVT-129,1910
HVT-130,1895
HVT-131,
HVT-132,1910
HVT-133,1900
HVT-134,1925
HVT-135,1920
HVT-136,1925
HVT-137,1915
HVT-138,1930
HVT-138,1930
HVT-139,1935
HVT-140,1915
HVT-140,1915
HVT-140,1905
HVT-141,1915
HVT-141,1915
HVT-144,
HVT-145,1910
HVT-145,1925
HVT-146,1925
HVT-147,1920
HVT-148,1915
HVT-149,1905
HVT-150,1925
HVT-151,1915
HVT-152,1940
HVT-152,1910
HVT-153,
HVT-154,1905
HVT-154,1910
HVT-154,1935
HVT-155,1910
HVT-156,1920
HVT-156,1925
HVT-157,1915
HVT-158,1925
HVT-159,1910
HVT-160,1920
HVT-161,1945
HVT-162,1920
HVT-163,1905
HVT-163,1920
HVT-164,1930
HVT-165,
HVT-166,1925
HVT-167,
HVT-168,
HVT-169,1910
HVT-170,1920
HVT-171,1920
HVT-172,
HVT-173,1935
HVT-174,1900
HVT-174,1920
HVT-175,1920
HVT-176,1915
HVT-177,1930
