testimony_id,interviewee_year_of_birth
HVT-1,1925
HVT-2,1925
HVT-3,1928
HVT-4,1928
HVT-5,1932
HVT-6,1924
HVT-7,1929
HVT-8,1931
HVT-9,1929
HVT-10,1928
HVT-11,1929
HVT-12,1926
HVT-13,1916
HVT-14,1904
HVT-15,1923
HVT-16,1936
HVT-17,1916
HVT-18,1923
HVT-19,1914
HVT-20,1923
HVT-21,1900
HVT-22,1922
HVT-23,1924
HVT-24,1941
HVT-25,
HVT-26,1928
HVT-27,1921
HVT-28,1926
HVT-29,1922
HVT-30,1921
HVT-31,1910
HVT-32,
HVT-33,
HVT-34,
HVT-35,
HVT-36,1923
HVT-37,1923
HVT-38,1933
HVT-39,1921
HVT-40,1922
HVT-41,1925
HVT-42,1922
HVT-43,1928
HVT-44,1910
HVT-45,
HVT-46,1937
HVT-47,1928
HVT-48,1935
HVT-49,1925
HVT-50,1933
HVT-51,1923
HVT-52,
HVT-53,
HVT-54,1929
HVT-55,1921
HVT-56,
HVT-57,
HVT-58,1924
HVT-59,1939
HVT-60,1920
HVT-61,
HVT-62,1928
HVT-63,1932
HVT-64,1928
HVT-65,1930
HVT-66,
HVT-67,1929
HVT-68,1911
HVT-69,1923
HVT-70,1922
HVT-71,1924
HVT-72,1933
HVT-73,1910
HVT-74,
HVT-75,
HVT-76,1923
HVT-77,
HVT-78,1925
HVT-79,
HVT-80,1926
HVT-81,1911
HVT-82,1919
HVT-83,1921
HVT-84,
HVT-85,1931
HVT-86,
HVT-87,
HVT-88,
HVT-89,
HVT-90,1915
HVT-91,1925
HVT-92,1931
HVT-93,1922
HVT-94,1914
HVT-95,1929
HVT-96,
HVT-97,1924
HVT-98,1925
HVT-99,1919
HVT-100,1929
HVT-101,1934
HVT-102,
HVT-103,1925
HVT-104,1915
HVT-105,1935
HVT-106,1920
HVT-107,1920
HVT-108,1929
HVT-109,
HVT-110,
HVT-111,1926
HVT-112,1918
HVT-113,1930
HVT-114,1924
HVT-115,1932
HVT-116,
HVT-117,
HVT-118,1905
HVT-119,1905
HVT-120,1900
HVT-121,1909
HVT-122,
HVT-123,
HVT-124,1909
HVT-125,1921
HVT-126,1904
HVT-127,1903
HVT-128,1892
HVT-129,1908
HVT-130,1893
HVT-131,
HVT-132,1909
HVT-133,1898
HVT-134,1927
HVT-135,1922
HVT-136,1923
HVT-137,1916
HVT-138,1929
HVT-139,1934
HVT-140,1915
HVT-141,1913
HVT-144,
HVT-145,1910
HVT-146,1924
HVT-147,1920
HVT-148,1914
HVT-149,1906
HVT-150,1924
HVT-151,1914
HVT-152,1938
HVT-153,
HVT-154,1903
HVT-155,1908
HVT-156,1927
HVT-157,1915
HVT-158,1923
HVT-159,1911
HVT-160,1920
HVT-161,1946
HVT-162,1921
HVT-163,1906
HVT-164,1930
HVT-165,
HVT-166,1925
HVT-167,
HVT-168,
HVT-169,1910
HVT-170,1922
HVT-171,1919
HVT-172,
HVT-173,1934
HVT-174,1922
HVT-175,1919
HVT-176,1914
HVT-177,1928
HVT-178,1923
HVT-179,1927
HVT-180,1924
HVT-181,1920
HVT-182,1914
HVT-183,1916
HVT-184,1922
HVT-185,1918
HVT-186,1924
HVT-188,1910
HVT-189,1914
HVT-190,1920
HVT-191,1937
HVT-192,1914
HVT-193,1914
HVT-194,1918
HVT-195,1921
HVT-196,1924
HVT-197,1915
HVT-198,1925
HVT-199,1923
HVT-200,1914
HVT-201,1915
HVT-202,
HVT-203,1939
HVT-204,1923
HVT-205,1906
HVT-206,1924
HVT-207,
HVT-208,1909
HVT-209,1915
HVT-210,1923
HVT-211,1929
HVT-212,1922
HVT-213,1930
HVT-214,1914
HVT-215,1918
HVT-216,1922
HVT-217,1912
HVT-218,1910
HVT-219,1926
HVT-220,1926
HVT-221,
HVT-222,1924
HVT-223,1928
HVT-224,1916
HVT-225,1929
HVT-226,1921
HVT-227,1935
HVT-228,1914
HVT-229,1920
